start_date,Variation,completion_rate
2017-03-15,Control,0.6363636363636364
2017-03-15,Test,0.5958904109589042
2017-03-16,Control,0.48936170212765956
2017-03-16,Test,0.625
2017-03-17,Control,0.4166666666666667
2017-03-17,Test,0.5882352941176471
2017-03-18,Control,0.37037037037037035
2017-03-18,Test,0.6666666666666666
2017-03-19,Control,0.48148148148148145
2017-03-19,Test,0.5161290322580645
2017-03-20,Control,0.3333333333333333
2017-03-20,Test,0.43333333333333335
2017-03-21,Control,0.5714285714285714
2017-03-21,Test,0.5
2017-03-22,Control,0.5772357723577236
2017-03-22,Test,0.656441717791411
2017-03-23,Control,0.5573770491803278
2017-03-23,Test,0.6142857142857143
2017-03-24,Control,0.3023255813953488
2017-03-24,Test,0.5384615384615384
2017-03-25,Control,0.25
2017-03-25,Test,0.55
2017-03-26,Control,0.47058823529411764
2017-03-26,Test,0.58
2017-03-27,Control,0.39285714285714285
2017-03-27,Test,0.47368421052631576
2017-03-28,Control,0.4666666666666667
2017-03-28,Test,0.4627659574468085
2017-03-29,Control,0.597598627787307
2017-03-29,Test,0.6684720638540479
2017-03-30,Control,0.5211822660098522
2017-03-30,Test,0.6413469068128426
2017-03-31,Control,0.5347758887171561
2017-03-31,Test,0.6456599286563615
2017-04-01,Control,0.5256410256410257
2017-04-01,Test,0.6613418530351438
2017-04-02,Control,0.45927903871829107
2017-04-02,Test,0.6473577235772358
2017-04-03,Control,0.3915094339622642
2017-04-03,Test,0.685682326621924
2017-04-04,Control,0.367986798679868
2017-04-04,Test,0.6258134490238612
2017-04-05,Control,0.5548414738646101
2017-04-05,Test,0.6140963014654571
2017-04-06,Control,0.4114376489277204
2017-04-06,Test,0.3741935483870968
2017-04-07,Control,0.3993677555321391
2017-04-07,Test,0.3916083916083916
2017-04-08,Control,0.4371184371184371
2017-04-08,Test,0.41405269761606023
2017-04-09,Control,0.35665914221218964
2017-04-09,Test,0.3902147971360382
2017-04-10,Control,0.3993055555555556
2017-04-10,Test,0.5533596837944664
2017-04-11,Control,0.4358974358974359
2017-04-11,Test,0.5527272727272727
2017-04-12,Control,0.5398843930635838
2017-04-12,Test,0.6386186770428015
2017-04-13,Control,0.45657894736842103
2017-04-13,Test,0.615625
2017-04-14,Control,0.51171875
2017-04-14,Test,0.65379113018598
2017-04-15,Control,0.5307692307692308
2017-04-15,Test,0.620253164556962
2017-04-16,Control,0.45269016697588127
2017-04-16,Test,0.5847880299251871
2017-04-17,Control,0.37684210526315787
2017-04-17,Test,0.6151515151515151
2017-04-18,Control,0.4658385093167702
2017-04-18,Test,0.6187214611872146
2017-04-19,Control,0.5464098073555166
2017-04-19,Test,0.6276923076923077
2017-04-20,Control,0.46153846153846156
2017-04-20,Test,0.6306620209059234
2017-04-21,Control,0.4857142857142857
2017-04-21,Test,0.6392572944297082
2017-04-22,Control,0.49122807017543857
2017-04-22,Test,0.5910364145658263
2017-04-23,Control,0.4647887323943662
2017-04-23,Test,0.5935162094763092
2017-04-24,Control,0.45104895104895104
2017-04-24,Test,0.5866261398176292
2017-04-25,Control,0.43891402714932126
2017-04-25,Test,0.5481927710843374
2017-04-26,Control,0.37037037037037035
2017-04-26,Test,0.5673469387755102
2017-04-27,Control,0.42021276595744683
2017-04-27,Test,0.5826446280991735
2017-04-28,Control,0.3673469387755102
2017-04-28,Test,0.43891402714932126
2017-04-29,Control,0.6538461538461539
2017-04-29,Test,0.6842105263157895
2017-04-30,Control,0.5
2017-04-30,Test,0.5686274509803921
2017-05-01,Control,0.4375
2017-05-01,Test,0.5081967213114754
2017-05-02,Control,0.372972972972973
2017-05-02,Test,0.5469387755102041
2017-05-03,Control,0.3935483870967742
2017-05-03,Test,0.6026785714285714
2017-05-04,Control,0.3815789473684211
2017-05-04,Test,0.5879828326180258
2017-05-05,Control,0.3805309734513274
2017-05-05,Test,0.63125
2017-05-06,Control,0.44642857142857145
2017-05-06,Test,0.554945054945055
2017-05-07,Control,0.3212121212121212
2017-05-07,Test,0.5408163265306123
2017-05-08,Control,0.3897058823529412
2017-05-08,Test,0.5406698564593302
2017-05-09,Control,0.5130890052356021
2017-05-09,Test,0.5879120879120879
2017-05-10,Control,0.5842293906810035
2017-05-10,Test,0.5401459854014599
2017-05-11,Control,0.5151515151515151
2017-05-11,Test,0.5865384615384616
2017-05-12,Control,0.625
2017-05-12,Test,0.5827814569536424
2017-05-13,Control,0.58125
2017-05-13,Test,0.5422535211267606
2017-05-14,Control,0.5944700460829493
2017-05-14,Test,0.6028708133971292
2017-05-15,Control,0.5867768595041323
2017-05-15,Test,0.5395348837209303
2017-05-16,Control,0.5688073394495413
2017-05-16,Test,0.5061728395061729
2017-05-17,Control,0.5326633165829145
2017-05-17,Test,0.6121212121212121
2017-05-18,Control,0.5448275862068965
2017-05-18,Test,0.5723684210526315
2017-05-19,Control,0.6526946107784432
2017-05-19,Test,0.582089552238806
2017-05-20,Control,0.5203619909502263
2017-05-20,Test,0.5141242937853108
2017-05-21,Control,0.5546875
2017-05-21,Test,0.533678756476684
2017-05-22,Control,0.49777777777777776
2017-05-22,Test,0.5459770114942529
2017-05-23,Control,0.5694444444444444
2017-05-23,Test,0.6094674556213018
2017-05-24,Control,0.5875
2017-05-24,Test,0.5826086956521739
2017-05-25,Control,0.5789473684210527
2017-05-25,Test,0.6792452830188679
2017-05-26,Control,0.5517241379310345
2017-05-26,Test,0.5714285714285714
2017-05-27,Control,0.5444444444444444
2017-05-27,Test,0.5473684210526316
2017-05-28,Control,0.5423728813559322
2017-05-28,Test,0.5522388059701493
2017-05-29,Control,0.5031055900621118
2017-05-29,Test,0.5961538461538461
2017-05-30,Control,0.5906735751295337
2017-05-30,Test,0.5523255813953488
2017-05-31,Control,0.5235294117647059
2017-05-31,Test,0.55
2017-06-01,Control,0.6010928961748634
2017-06-01,Test,0.5254237288135594
2017-06-02,Control,0.538961038961039
2017-06-02,Test,0.5757575757575758
2017-06-03,Control,0.546448087431694
2017-06-03,Test,0.6163522012578616
2017-06-04,Control,0.52
2017-06-04,Test,0.601123595505618
2017-06-05,Control,0.6210526315789474
2017-06-05,Test,0.6217616580310881
2017-06-06,Control,0.521978021978022
2017-06-06,Test,0.5555555555555556
2017-06-07,Control,0.5575757575757576
2017-06-07,Test,0.6204819277108434
2017-06-08,Control,0.46496815286624205
2017-06-08,Test,0.49193548387096775
2017-06-09,Control,0.5316455696202531
2017-06-09,Test,0.5182481751824818
2017-06-10,Control,0.5728155339805825
2017-06-10,Test,0.4491525423728814
2017-06-11,Control,0.5828571428571429
2017-06-11,Test,0.5232558139534884
2017-06-12,Control,0.5542168674698795
2017-06-12,Test,0.5657894736842105
2017-06-13,Control,0.4319526627218935
2017-06-13,Test,0.5474452554744526
2017-06-14,Control,0.6129032258064516
2017-06-14,Test,0.5194805194805194
2017-06-15,Control,0.5642857142857143
2017-06-15,Test,0.5943396226415094
2017-06-16,Control,0.44166666666666665
2017-06-16,Test,0.5263157894736842
2017-06-17,Control,0.5135135135135135
2017-06-17,Test,0.5694444444444444
2017-06-18,Control,0.6069364161849711
2017-06-18,Test,0.5413533834586466
2017-06-19,Control,0.543010752688172
2017-06-19,Test,0.5757575757575758
2017-06-20,Control,0.5650224215246636
2017-06-20,Test,0.558282208588957
